id,commented_em,commented_em_trim,commented_bleu,commented_bleu_trim,comments_removed_em,comments_removed_em_trim,comments_removed_bleu,comments_removed_bleu_trim
4491,0,0,24.25958608677301,24.25958608677301,0,0,24.25958608677301,22.904598540946132
12513,0,0,98.992372345735,100.0,0,0,50.513345914776586,49.99586368525379
10144,0,0,85.18289143216697,94.50472065170584,0,0,88.51089445846677,94.31894963692112
10145,0,0,92.56637011447837,92.56637011447837,0,0,68.27371394264809,67.94780495810588
8440,0,0,71.33914068458252,71.33914068458252,0,0,31.646709587489653,31.646709587489653
4507,0,0,15.639816609416748,79.31756899391655,0,0,55.712888453976184,57.08442446123193
10920,0,0,76.2738880154654,76.8378566137924,0,0,18.988692418627156,7.939281919842123
10227,0,0,96.88662922704262,96.88662922704262,0,0,79.67155646445843,79.67155646445843
8464,0,0,57.50591141647211,64.25519355659345,0,0,58.27955999092447,57.71464599535818
1643,0,0,93.3139405265606,93.3139405265606,0,0,80.80430020061198,80.80430020061198
7295,0,0,93.31271542314163,93.30445894159931,0,0,30.410892563140706,33.58593483546342
8166,0,0,96.98064870337828,100.0,0,0,72.54660067212856,72.20065065608833
13517,0,0,38.319783042242776,38.625742813092714,0,0,47.153714102478155,69.83599844243778
9879,0,0,97.23146193796461,100.0,0,0,81.69623019916189,81.34843024854828
4522,0,0,17.997127546464135,28.56187650482572,0,0,16.02859723913293,30.799948009475838
7089,0,0,65.37535267365516,65.37535267365516,0,0,48.172497700128005,48.172497700128005
8489,0,0,94.90209679021811,100.0,0,0,58.32772950069784,57.59127924604264
12432,0,0,98.75375950494862,98.75375950494862,0,0,59.24201788904077,59.24201788904077
8502,0,0,98.44331675725064,100.0,0,0,84.64654422484222,84.50111766153346
11843,0,0,99.34316595150848,100.0,0,0,99.34316595150848,100.0
7336,0,0,96.59532317701091,97.54008278719402,0,0,89.1287968837333,89.08462554371816
9857,0,0,81.4422074049283,81.98068445360597,0,0,81.32134269306992,81.97064332580452
10113,0,0,96.72286501563947,96.72286501563947,0,0,75.48526796862926,75.38633967942026
4542,0,0,98.10421271740911,98.72810422051597,0,0,98.10421271740911,98.72810422051597
7922,0,0,57.66958928226471,64.16784677292185,0,0,51.90855018753204,56.292552942658524
9796,0,0,97.51444843443538,100.0,0,0,43.53228407604647,43.53228407604647
14783,0,0,99.24950169688135,99.24950169688135,0,0,93.09280570981578,93.05308958112056
12522,0,0,98.3670431367383,100.0,0,0,23.206217152850222,25.960728373617272
4487,0,0,80.9099538094085,98.9389091151448,0,0,81.30595046376074,82.97817311368526
7090,0,0,63.177193676218735,64.79608683135538,0,0,79.42214653540273,92.48667080773097
9855,0,0,98.49032624448164,100.0,0,0,76.57742715118877,67.31188730678772
8876,0,0,70.7187209690398,70.7187209690398,0,0,55.420367073019136,55.420367073019136
8576,0,0,74.78246109423957,75.40559918684701,0,0,84.80900200993487,78.8797642638672
8438,0,0,33.76160869300123,95.829298379049,0,0,42.19918466787185,42.19918466787185
11809,0,0,96.18653173140274,96.18653173140274,0,0,16.028335906692373,16.028335906692373
10143,0,0,64.64372612943328,72.64635639742175,0,0,71.723819635173,78.00367720780031
12985,0,0,97.0691552519577,100.0,0,0,59.18340095077248,57.95782787848095
7098,0,0,40.31512598712424,33.949878780528095,0,0,53.88145234178655,69.76698309979025
7318,0,0,88.16773138135555,88.7832335353688,0,0,80.99939855363812,81.59391155527139
8203,0,0,77.81344804011944,93.18761249861363,0,0,80.37957852981485,80.37957852981485
8535,0,0,97.53820058537079,89.62023619688662,0,0,94.31452346628497,85.45819669589085
8344,0,0,99.03141397547887,99.03141397547887,0,0,82.18173517357036,74.08182206817179
7332,0,0,81.65028894780826,81.65028894780826,0,0,75.47671163125558,75.47671163125558
9955,0,0,52.64341829292544,54.13767357039081,0,0,22.692692868827994,22.692692868827994
11893,0,0,46.6354610895603,28.482386126768283,0,0,64.16981465759282,63.86609319579133
4464,0,0,66.24533381052412,69.99121153096243,0,0,45.20648540269484,44.994777053574516
6706,0,0,56.25704836246423,57.03579507520947,0,0,46.95431352370106,47.696801642192476
8439,0,0,71.81460700563782,83.58826899203987,0,0,45.52636715177141,43.652339085994804
4493,0,0,98.31190049157489,98.31190049157489,0,0,79.57926552396326,79.57926552396326
12313,0,0,97.63220382716179,97.63220382716179,0,0,67.71192276576465,67.71192276576465
10133,0,0,78.09851938945268,78.61488874591961,0,0,63.505956249848495,63.496808772443494
8393,0,0,52.185610788636716,51.77680856367001,0,0,50.82098566645,50.422873395625146
11796,0,0,18.41792376564963,18.41792376564963,0,0,20.843704571679947,20.843704571679947
4547,0,0,33.95296048421985,57.25859693631891,0,0,32.653800366958876,47.80982138890852
4720,0,0,82.94148623915278,82.94148623915278,0,0,83.50323090157488,83.50323090157488
9813,0,0,91.46949297882254,94.53779850091978,0,0,84.15510281058238,84.12200538487824
4528,0,0,29.354111008540123,41.57604920890666,0,0,59.45911439294649,59.45911439294649
4715,0,0,96.63925789561289,96.63925789561289,0,0,48.85891834737791,47.90177871818692
8771,0,0,51.85596728844683,93.10627797040229,0,0,27.572453874367575,26.615473738396446
